mos,fr
Wa zĩnd mam saeegẽ tɩ d yẽse.,Viens t’asseoir à côté de moi on va discuter.
Pa ka-koaad bal la sag-rɩt ye.,"Ce n'est pas le cultivateur seul qu mange le tô. (Proverbe: ni l'agriculteur, ni aucune autre activité ne doivent être méprisés car ils apportent du revenu à ceux qui les pratiquent et profitent à tout le monde.)"
Fo sẽn da rat moog n vel n paam t'a tũ sag-võre.,"Voilà quelqu'un qui voulait avaler un brin d'herbe, et réalise qu'il s'est glissé dans une bouchée de tô. (Proverbe: quand on veut quelque chose alors que les conditions ne sont pas réunies, il faut saisir l'occasion que se présentera au bon moment pour arriver à ses fins.)"
Sag wamã taaba n bĩngi.,Range les calebasses les unes dans les autres. 
"F pa tar sagend, bɩ f sagl f menga. Ka sagend sagenda a menga.","Si tu n'as pas de conseiller, il faut te conseiller toi-même. (proverbe)"
Sagl wamdẽ wã.,Mets cela dans la calebasse.
B sagl-a lame la a pa reeg saglgã ye.,On l'a conseillé mais i n'a pas accepté le conseil.
Ned ka be n yɩɩd saglg ye. Saglg pa sekd ned ye.,"Aucune personne n'est au-dessus des conseils. Les conseils ne peuvent suffire à une personne (proverbe, sens: on a besoin des bons conseils pour faire des bonnes décisions)."
Maam ne foom bee sak a ye.,Nous deux habitons dans le même quartier.
Sak neongã sẽn be laagẽ wã.,Enlève la viande qui est dans ce plat.
"f sã n sak pidbu, bɩ f sak tɛɛbo.",Il répond à l'appel.
Sakr yaa foom n maane.,Probablement c'est toi qui a fait.
A sanda maam.,Il se moque de moi.
Yellã kell n paa salembole tɩ ned pa wʋm a võor ye.,Le problème reste encore sans solution et on ne comprends pas.
salgã rɩ-a-la kass... t'a lʋɩ pip!,Décoction de bière.
A salg n lʋɩɩme.,Il a glissé et est tombé.
A salga a zẽedã nanguri.,Elle a assaisonné sa sauce avec des arachides.
Reng n sall la f yaool n kẽ.,Tu frappe d'abord à la porte et puis tu entres.
A salemda biigã zugã.,Elle caresse légèrement la tête de l'enfant.
Samd yaoob yaa f ra yã yãnd ye.,"On paie ses dettes pour éviter la honte. (Proverbe: d'une part, être créancier ne confère pas le droit d'humilier son débiteur. D'autre part, le débiteur doit aussi respecter les engagements qu'il a pris avec son créancier.)"
Sagdã sama gul-guli.,La saleté est entassée en grande quantité.
B saoodame.,Ils sont en train de danser.
A saoo a pʋʋgã.,Il a sarclé son champ.
"Mam wʋmame t'a kẽn sao, sao.",J'entends qu'il marche avec du bruit de pas.
Rulg yet t'a saooda kɛgr t'a yãa pĩnda.,Le calao dit qu'il a une danse maladroite (prudente) car il est pétri d'expériences. (Proverbe: le calao observe de la prudence dans son comportement parce qu'il a déjà été victime de son manque de prudence.)
Saoog be ne waongo.,"La responsabilité de la danse est au masque. (proverbe signifiant: dans une entreprise faisant intervenir divers parties, chacune doit bien assurer le rôle qui lui est dévolu pour la réussite de l'entreprise afin de na pas être responsable de l’échec.)"
A saooda a biigã.,Elle fait danser son enfant.
Yãmb sara tʋʋmdã wãna?,Vous vous êtes entendus sur quelles conditions pour le travail ?
A rɩka sʋʋg n sarem tɩɩsã fãa.,Il a abattu tous les arbres avec un couteau.
Rẽ sasa.,A ce moment.
Maneg n gãand sasa.,Allonge toi par terre.
"(tʋʋl-nif kiuugu, sig-noe kiuugu, sigr kiuugu, sẽoog kiuugu) ",Saison où il y a le maximum de soleil dans certains pays (avril-mai-juin-juillet)
Sasa wã toeeng sẽn wɛ n ya a soaba yʋʋm 10 pʋgẽ bɩ yɩɩd rẽnda.,Modification générale des saisons par rapport à 10 années ou plus. 
Tɩɩm pa sat killẽ ye.,La gourde contenant un gri-gri ne tarit pas. (Proverbe: l'homme ne doit pas accepter de perdre toute chose de valeur qu'il a jusqu'à la source. Il doit veiller à garder cette source qui lui permettra de produire ou reconstituer cette même chose.)
A be-ned ma kʋʋr pa sat a raar ye.,Les funérailles de la mère de celui qui a des proches ne finissent pas le même jour. (Proverbe: les manifestations organisées par une personne riche ou admirée abonderont de monde.)
Kẽng hal sorã satmẽ.,Marche jusqu'au bout de la route.
Mam satem-satem (yaoolem) waoong la woto.,Cela est ma ultime venue / visite.
A sãa bĩndu.,Il a déféqué.
"A sã n wa, bɩ f kõ-a.","S'il vient, donne-lui."
"Nebã fãa ka wʋmd gom-kãngã võor ye, sã n ka b sẽn kõ b rãmb pãn-tõog tɩ wʋma bala.","Tous les hommes ne sont pas capables d'accepter cet enseignement, si ce n'est pas ceux à qui Dieu en donne les moyens."
A sãagame n kẽng taoore.,Il a dépassé et est allé devant.
A mobillã sãamame.,Sa voiture est gâtée.
Sãan-sõng yaa yir soab yɛsba.,L'étranger généreux est l'oncle du chef de famille. (Proverbe: l'étranger doit se faire une bonne image envers ses hôtes. Ce qui lui garantira un séjour agréable.)
Bũmb nins fo sẽn togsd tõndã yaa bõn-sãams ne tõndo.,Ce que tu dis est une chose nouvelle / étrangère pour nous.
Rãamã noor sãbgame.,Le dolo est devenu fade.
A sãda beoog n kẽng Bobo.,Il s'est levé tô le matin et est allé à Bobo.
A lalgã woglem tɩ sãda mam lalgã.,Son mur est plus long que mon mur.
"a ka togs sɩd ye, yaa sãdem.","Il n'a pas dit al vérité, c'est un mensonge."
B yẽda loaagã bok t'a sãdemd n tɩ yi ka.,On a obstrué le trou du rat et il est sorti vite ailleurs.
Mui wã sãeegdame.,Le riz est dispersé.
Sʋ-sãeenga.,Couteau sans fourreau.
A rɩka ki ne wamd n sãgsdẽ n boond noosã.,Il fait du bruit avec le mil et la calebasse pour appeler les poules.
Mi tiir n gomd sãkãndre.,"Qui est au courant, comprend le verlan. (Proverbe, sens: Quand on est au courant de quelque chose, on peut se comporter conséquemment)"
M sãmbame t'a ka na n tõog n wa ye.,Je crois qu'il ne pourra pas venir.
"mam ka gomd sãmogemd ye, m gomda moore.","Je ne parle pas le samo, je parle le mooré."
Sãnd ka foo la a sẽn babsd tõndã?,Est-ce que c'est toi qui se joint à nous ?
Ra-sãnga.,Bel homme.
"A sẽn paam tɩɩmã n velã, sãnsãoome.",Quand il a avalé les médicaments il est allé un peu mieux.
Bãagã lebga sãnsãood wʋsgo.,Le malade va beaucoup mieux.
gom moor tɩ mam ka wʋmd sãnteer ye.,Parle le mooré car je ne comprends pas la langue Ashanti / twi.
a bãagã rũnda sãoome.,Aujourd'hui ça va mieux.
Zẽedã ka ning yamsem tɩ ya sãobsg poa'a.,La sauce sans sel est fade.
"A ra bẽeda bi, la mosã sãoogame.","Il faisait la rougeole, mais maintenant il est guéri."
Lek yʋʋrã koom tɩ yaa sãoogo.,Ajoute l'eau dans le canari afin qu'il soit à moitié plein.
A sãoome.,Il va mieux.
Yão wã sɩd ka tar sãoor ye.,Celui-ci n'a vraiment pas d'intelligence.
"Sõd-b n gese, b sãoor ya a wãna?",Compte-les pour voir combien ils sont.
B maoome tɩ b na n sãr-a n ka tõog ye.,Ils ont essayé de l'étrangler mais ils n'ont pas pu le faire.
A sãrga a baagã kokor ne wĩiri.,Il a étranglé le chien avec une corde.
"F tẽed tɩ bugum na rɩ sãy yiri, n wa mik t'a rɩt bag yiri.",Tu peux penser que la concession du forgeron prendra feu et tu te rends compte qu'il consume la concession du devin. (Proverbe: nous avons des appréhensions et des jugements subjectifs et les faits les contredisent)
A ligdã rʋʋga sãyy.,Son argent est tombé en s'éparpillant.
"Bʋʋg sã n paam taam n dɩ, bɩ a pʋʋs sebg barka.","Si une chèvre gagne des amandes de karité à manger, qu'elle remercie le vent. (proverbe: il faut être reconnaissant à tout bienfaiteur)"
B seda ne b taabã n na n ning Amiru yãnde.,Ils se sont entendus avec les autres de faire honte à Amirou.
Bi-puglã nintãm segdame n dʋʋgdẽ.,Les larmes de la fille ont coulées par terre.
A ka mi a sẽn na maan seem seem t'a paam ligdi.,Il ne sait pas comment faire pour avoir de l'argent.
"Seemd sã n lʋɩ tʋʋll, bɩ b rɩk-a tʋʋlle.","Si l'amande du prunier sauvage tombe rapidement, il faut la ramasser rapidement. (proverbe)"
A Zã sega a tʋmd-n-taag a yembre.,Jean a rencontré un de ses compagnons.
Ka sek ye.,Ce n'est pas assez.
A sela tɩɩs piiga.,Il a planté dix arbres.
Bãng f sẽn na n semb n paam ligdã.,Débrouille-toi pour trouver l'argent.
"Bɩ f sõde : sembo yiibu, tãabo ...","Il faut compter: un, deux, trois ...."
Zu-noog soaba bʋta wa a sendame.,"Le chanceux sème comme s'il repiquait. (proverbe, sens tout ce qu'il fait lui réussit)"
Gũus-y tɩ kʋɩlgã noor yaa seodgo.,Faites attention car le bord du fleuve a une pente abrupte.
A kẽndame n serd a nao wã.,Il marche en traînant ses pieds.
A zoeeme t'a tʋʋlgã serdẽ.,Il a couru et sa sueur dégouline.
Serg-y bilf tɩ m zĩndi.,Poussez-vous un peu que je m'assois.
A sesa rãam.,Il a bu trop de bière.
A zoeeme n wa yɛs n sesdẽ.,Il a couru et maintenant il halète.
A tugla bugum n sẽ nemdo.,Elle a allumé un feu et a grillé de la viande.
Sẽ fuugã n kõ-ma.,Couds cet habit pour moi.
Andã n sẽ bĩndã?,Qui a pété?
Yẽ sẽ n wa. A waame sẽ.,C'est bien lui qui est venu. Bien sûr qu'il est venu.
Zĩ-sẽbga.,Endroit suffocant.
Bao kʋɩdg n sẽbg noaagã t'a ra fɩsg ye.,Attache les jambes de la poule avec un tissu pour qu'elle ne s’échappe pas.
Roogã sẽbga ne neba.,La chambre est plein de gens.
Bao fut n sẽd bokã.,Bouche le trou avec des tissus.
"Ned sã n sẽdgd f poore, bɩ fo me widg f nenga.","Si quelqu'un frotte ton dos, alors lave ton visage. (proverbe: quand on aide quelqu'un, il ne doit pas rester les bras croisés. cela facilite et encourage l'aide à continuer)"
"Nangur sẽeb yaa a waoogre, pa rẽ b tõe wãb-a-la kãado.","Griller l'arachide, c'est par respect pour elle, sinon on peut la manger crue. (proverbe: nous devons avoir un certain estime pour les gestes bienveillantes que les uns et les autres ont à notre égard)"
"F sã n ka pẽ noaaga, f ka mi t'a sẽedame ye.","Quand tu n'est pas proche de la poule, tu ne sais pas qu’elle pète. (proverbe: il n'y a personne qui est exempte de fautes / faiblesses)"
Wĩnto-sẽega.,Soleil brûlant.
A sẽena biki a tʋbrẽ wã n yaool n tʋme.,Il a fixé son bic à l'oreille et puis il a travaillé.
A sẽgdga seb-vãoog a sebrẽ.,Il a inséré une feuille dans son livre.
Neba sẽga taab roog a ye pʋga.,Les gens sont ensemble (coincés) les uns contre les autres dans une chambre.
Bi-puglã sẽga fu-poko.,La fille porte un pagne autour de la hanche.
A sẽgma maam ne lalgã.,Il m'a serré contre le mur.
A sẽgna fu-poko.,Elle noue un pagne autour de la hanche.
Sorã yaa sẽk wʋsgo.,Le chemin est très étroit.
Ges roogã sẽkẽ tɩ yʋʋrã rɩga be.,Regarde dans le coin de la case car il y en a un canari la-bas.
Biigã sẽka a kurgã n yaool n dʋʋde.,L'enfant a enlevé les pantalons et puis il a uriné.
A pʋgd n sẽkda maam tɩ m kõ-a ligdi.,Il m'a suivi et pressé pour que je lui donne de l'argent.
Pʋg-sãdã sẽkda kom-dibli.,La jeune fille attire l'attention des garçons.
A tara sẽm-sẽm n baood a ligdã.,Il cherche partout pour trouver son argent.
Rũmsã sẽmd n baooda koom.,Les animaux vont de toute part en cherchant de l'eau.
Rɩɩb sẽn be ka.,La nourriture qui est ici.
Fo sẽn da weef ningã yaa toog wʋsgo.,Le vélo que tu as acheté est trop cher.
A sẽn wa wã nooma m sũuri.,Sa venue m'a fait plaisir. (Le fait qu'il est venu ...)
"A zoa wã yĩns sẽn zabdã yĩnga, a ka na n tõog n wa ye.","Comme son ami est malade, il ne pourra pas venir."
"Bala, Wẽnnaam nonga duniyã, hal tɩ b kõ b Biig sẽn ka to, tɩ ned ning fãa sẽn tẽed bãmb kõn sãam ye, la a na paam vɩɩm sẽn kõn sɛ.","Car Dieu a tellement aimé le monde qu'il a donné son Fils unique, afin que quiconque croit en lui ne soit pas perdu mais qu'il ait la vie éternelle."
"Sẽn-Ka-Saabo, zãms-y maam tɩ m maan yãmb daabã! (Yɩɩn-sõamyã 86:11)","Éternel, enseigne-moi tes voies. (Psaume 86:11) "
Fuugã sẽnesem yidgame.,L’endroit de couture s'est défait.
A yita Bobo sẽnẽ.,Il vient d'un endroit vers Bobo.
Baagã kɩtame t'a lebg bãaneg sẽnnn.,Sa maladie a fait qu'il est devenu très mince.
Fuugã pãrga a sẽnesmẽ wã.,L'habit s'est déchiré à l'endroit de la couture.
A sẽoo yolgã ne vãado.,Il a bourré le sac avec des feuilles.
Pagã sẽe a wamdã ne sẽobsdo.,La femme couse sa calebasse avec du fil/fibre de néré.
Zĩigã yaa sẽogf n ka sekd nebã ye.,La place est très petit elle ne suffit pas pour les gens.
Zĩ-sẽoko.,Endroit étroit.
A nugã nodr sẽsmame n lebg n wũnusdẽ.,Sa plaie à la main s'est referme et s'est infectée.
Wẽnnaam pãng ka sɛt ye.,La puissance de Dieu ne finisse jamais.
Bũmb fãa sɛɛb wakat kolgame.,La fin de toute chose s'est approché.
Sɛɛg pa solgd a piisd ye.,On ne cache pas le postérieur à celui qui le soigne. (proverbe: il faut ignorer la honte pour permettre au soignant de consulter la partie et d'y appliquer les soins nécessaires)
Ges peoogã sɛɛga.,Regarde à côté du panier.
Sɛgdame tɩ koambã sak b ba-rãmbã ne b ma-rãmba.,Il convient que les enfants obéissent à leurs parents.
Tõnd sɛga taab raagẽ.,Nous nous sommes rencontrés au marché.
Pagã sɛgla mui n kõ maam.,La femme a préparé du riz pour moi.
Biigã lama sɛla.,L'enfant se tapit tout droit.
Bao-y paoong sẽn ka sɛt arzãn pʋga.,Faites-vous un trésor inépuisable dans les cieux.
Mam yĩisã fãa yɩɩ siddd.,Tout mon corps est parcouru d'un frisson.
A wʋma yellã n sidgdẽ.,Il a entendu le problème et s'inquiète.
Sig tɩɩgã zug tɩ f na n lʋɩɩme.,Descends de l'arbre afin que tu ne tomberas pas.
Sẽn be n kõr sigri.,"C'est ce qu'on a qu'on donne à l'hivernage. (Proverbe: chacun doit vivre, faire les choses en fonction de ses moyens.)"
A siiga roogã n maneg n me.,Il a détruit la case pour la reconstruire.
"Sik-f meng, tɩ Wẽnd zẽk-fo.",Abaisse-toi et Dieu t’élèvera. (proverbe: on doit cultiver l'humilité et la modestie)
A sikda teedã.,Il a déchargé les marchandises.
B gũma taab n zĩ sira.,Ils se sont réunis et assis en regroupement.
Kõsg bãag tũuda ne sĩ.,Proverbe : La toux s'accompagne avec de maux de côtes. (Un malheur ne vient jamais seul).
Bõe n be liuul noorẽ sã n pa sĩb-paoko?,"Qu'est ce qui est au bec de l'oiseau, si ce n'est que du zeste de raisin? (Proverbe: chacun s’intéresse à ce qui le préoccupe et l'intéresse dans le présent)"
Nangur-n-sĩdfu.,Arachides dur au toucher.
B wʋka tãnd n sĩd bokã.,Ils ramassent des mottes de terre et bouchent le trou.
Sĩin-m koomã tɩ m pek m nugã.,Verse l'eau en mince filet pour que je lave mes mains.
Saoogã la sĩinã.,"C'est parce qu'il y a la danse qu'il y a le sésame. (Proverbe: pour qu'il y ait du sésame, il a fallu que le cultivateur danse. Chaque fois qu'une situation explique ou engendre une autre, on dirait que c'est à cause de la première qu'il y a la deuxième.)"
A sã n gomd bɩ f sĩnd f noore.,Quand il parle tu dois te taire.
"A ka nong goma ye, yaa nin-sĩndri.","Il n'aime pas trop de paroles, c'est une personne timide."
B sɩbga wagdrã. ,Ils ont puni le voleur.
"Sɩd me, ned ning fãa sẽn dat n kogl a vɩɩm, a vɩɩm na sãame.","En effet, quiconque voudra sauver sa vie la perdra."
"Sɩd-sɩda, mam yeta yãmb t'a soaalã na n kɩtame t'a soog bũmb nins fãa yẽnda sẽn tarã.","En vérité, je vous le dis, il l'établira sur tout ce qu'il possède. "
"Yaa sɩda, a paama ligdã.","C'est la vérité, il a reçu l'argent."
Sɩd yɩɩ toogo.,"C'est vraiment difficile,"
A zĩi sɩddd.,Il est assis sans dire mot.
Yaa gom sɩdem-sɩdem.,Cette parole est de source sûre.
B ra sɩfa b na tũ taab n wa ges-fo.,Ils pensaient venir ensemble pour te voir.
M zĩnda ne bãadã sɩga.,Je me suis assis avec le malade de manière très préoccupée.
A sũurã lebg noog t'a sɩgda.,Il est content et saute de joie.
B wilgame tɩ bi-kãngã sɩgda a yaab a Zã.,Ils ont révélé que cet enfant est la réincarnation de l'ancêtre Jean. 
Sĩnd sɩɩ tɩ m wa.,Tais-toi et sois silencieux que je viens.
Rẽnda f sɩɩb f meng ne a Zã.,Il faut que tu fasse attention avec Jean (méfie toi de lui).
Bãmb fãa pida ne Sɩɩg-sõngo.,Eux tous sont devenus remplis du Saint Esprit.
A sɩɩgda naafo.,Il dépouille un bœuf.
Ned kʋʋda a ma bʋʋg n zãms sɩɩgre.,On tue la chèvre de sa mère pour apprendre la boucherie. (proverbe disant: il faut toujours donner l'occasion d'apprendre à celui qui désire apprendre)
A sɩɩnda a zab-n-taaga.,Il fait allusion à son ennemi.
Sɩɩs a yĩngã n ges ka tʋʋla?,Touche son corps pour voir si c'est chaud.
Ned ne f sɩlem tɩ f ra kãan-woabg/ no-woabg raagẽ.,"Quel que ruse que l'on soit, on peut vous faire acheter une pintade (ou une poule) boiteuse au marché. (proverbe: quelle que soit la vigilance d'un individu, il ne peut éviter à tout moment de commettre un erreur)"
Ra-sɩlenga.,Bois pointu.
Sɩlg rãamã la f bas a bɩllã.,Décante le dolo mais laisse la levure.
A sɩlga raoogã.,Il a taillé le bois en forme pointue.
Biigã sɩlgame n lebg bedre.,L'enfant est devenu grand.
A bãnga bãmb sɩlmã.,Il connaît leur ruse.
A sɩlmame n paam n põse.,Il s'est échappé en utilisant des ruses.
Raoogã sɩlma.,Le bois est pointu.
A sɩndgdame n gese.,Il se dresse sur la pointe de ses pieds et regarde.
Biig ma sã n be pʋɩɩrẽ bɩ a bas sɩndgre.,"Si la mère d'un enfant est dans le groupe qui fait le partage, qu'il cesse de se dresser sur la pointe des pieds pour surveiller le partage. (Proverbe: l’affection oblige)"
Saagã niime tɩ nebã sɩng bʋdbo.,Il a plu et les gens ont commencé à semer.
A sɩng n kosa biigã t'a paooda.,"Il a demandé (la main de ) l'enfant bien avant, alors qu'elle était petite."
A tʋʋmd sɩngre.,Le commencement de son travail.
Biigã bɩɩme n lebg sɩnsɩlga.,L'enfant a grandi et est de taille moyenne.
B sɩʋʋ taab noore.,Ils se sont mis d'accord.
Mam sooda koom.,Je me lave.
Maam n so mobillã.,C'est moi que possède la voiture.
"F sã n minim kiu-kiu kẽnde, bɩ f tẽeg soaa-soaa kẽnde.","Si tu t'habitues à marcher à pas fermes, il faut te rappeler de marcher à pas feutrés. (proverbe: si l'homme doit profiter des belles opportunités dans la vie, il doit aussi songer au revers)"
Lar n tõe soaasa.,C'est la hache qui repousse l'hyène. (Proverbe: il y a toujours une ultime solution pour atteindre un objectif si toutes solutions raisonnables n'y parviennent pas.)
M zu-soab la Wẽnnaam.,C'est Dieu qui est mon propriétaire.
Mam biiga.,Mon enfant.
Soakd ka menemd ye.,Celui qui se renseigne ne s'égare pas. (proverbe: on peut échouer parce qu'on ne s'est pas informé)
